id,age,sex,cb,order,block,part,trial,cue,buses_order,trans_type,surprise,ans,response,RT,ACC,performance
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,1,house1,red-blue,regular,NA,l,a,0.6643993,0,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,2,house2,red-blue,regular,NA,a,l,0.7922653,0,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,3,house1,red-blue,regular,NA,l,a,0.589286499,0,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,4,house1,blue-red,regular,NA,a,l,1.7669059,0,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,5,house1,red-blue,regular,NA,l,l,0.8897081,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,6,house1,red-blue,regular,NA,l,l,0.796008801,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,7,house1,blue-red,regular,NA,a,a,0.3142632,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,8,house2,blue-red,regular,NA,l,l,0.2523927,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,9,house2,blue-red,regular,NA,l,l,0.6775092,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,10,house2,red-blue,regular,NA,a,a,1.417098101,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,11,house2,red-blue,regular,NA,a,a,0.298364399,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,12,house2,blue-red,regular,NA,l,l,0.4078042,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,13,house1,red-blue,regular,NA,l,l,1.239395101,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,14,house2,red-blue,regular,NA,a,a,0.786496399,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,15,house2,blue-red,regular,NA,l,l,1.219885301,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,16,house1,red-blue,regular,NA,l,l,0.4046259,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,17,house1,red-blue,regular,NA,l,l,0.2171844,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,18,house2,red-blue,regular,NA,a,a,0.503744701,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,19,house2,blue-red,regular,NA,l,l,0.7579486,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association1,20,house2,blue-red,regular,NA,l,l,0.7839607,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association1_timepres,1,house1,red-blue,regular,NA,l,l,0.664831499,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association1_timepres,2,house1,blue-red,regular,NA,a,a,0.205531299,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association1_timepres,3,house1,blue-red,regular,NA,a,a,0.355864599,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association1_timepres,4,house2,red-blue,regular,NA,a,a,0.441289701,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association1_timepres,5,house2,red-blue,regular,NA,a,a,0.221370099,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association1_timepres,6,house2,red-blue,regular,NA,a,a,0.218044002,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association1_timepres,7,house2,red-blue,regular,NA,a,a,0.2109662,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association2,1,house2,blue-red,regular,NA,a,a,0.397940699,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association2,2,house2,blue-red,regular,NA,a,a,0.2250981,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association2,3,house1,blue-red,regular,NA,l,l,0.210416699,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association2,4,house1,blue-red,regular,NA,l,l,0.495824801,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association2,5,house2,red-blue,regular,NA,l,l,0.3290921,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association2,6,house2,red-blue,regular,NA,l,l,0.2260787,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice_no_timeout,association2,7,house1,blue-red,regular,NA,l,l,0.364449,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,1,house2,blue-red,regular,NA,a,l,0.2799164,0,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,2,house1,blue-red,regular,NA,l,a,0.2413777,0,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,3,house2,blue-red,regular,NA,a,NA,NA,0,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,4,house2,blue-red,regular,NA,a,a,0.213274101,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,5,house1,blue-red,regular,NA,l,l,0.2167842,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,6,house1,blue-red,regular,NA,l,l,0.1614582,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,7,house2,red-blue,regular,NA,l,l,0.193197601,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,8,house2,red-blue,regular,NA,l,l,0.199011501,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,9,house1,red-blue,regular,NA,a,a,0.324662901,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,10,house2,blue-red,regular,NA,a,l,0.243083501,0,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,11,house2,red-blue,regular,NA,l,l,0.1834084,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,12,house2,red-blue,regular,NA,l,l,0.2423987,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,13,house1,red-blue,regular,NA,a,a,0.2559998,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,14,house2,blue-red,regular,NA,a,a,0.4547823,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,15,house1,red-blue,regular,NA,a,a,0.332619701,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,16,house1,red-blue,regular,NA,a,a,0.2735589,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,17,house2,red-blue,regular,NA,l,l,0.201836798,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,18,house2,red-blue,regular,NA,l,l,0.271635899,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,19,house1,blue-red,regular,NA,l,l,0.232124599,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,practice,association2_timepres,20,house1,blue-red,regular,NA,l,l,0.280740401,1,
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,1,stimuli/house2.png,stimuli/blue-red.png,regular,steady,l,a,0.313516501,0,0
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,2,stimuli/house2.png,stimuli/red-blue.png,regular,steady,a,l,0.3318158,0,0
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,3,stimuli/house2.png,stimuli/blue-red.png,regular,steady,l,l,0.4817887,1,1
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,4,stimuli/house2.png,stimuli/blue-red.png,regular,steady,l,l,0.4288982,1,2
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,5,stimuli/house1.png,stimuli/red-blue.png,regular,steady,l,l,0.6211855,1,3
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,6,stimuli/house2.png,stimuli/red-blue.png,regular,steady,a,a,0.324790299,1,4
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,7,stimuli/house1.png,stimuli/blue-red.png,oddball,switch,l,a,0.3599247,0,4
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,8,stimuli/house2.png,stimuli/red-blue.png,oddball,steady,l,l,0.3616661,1,5
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,9,stimuli/house1.png,stimuli/red-blue.png,oddball,steady,a,a,0.3511726,1,6
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,10,stimuli/house2.png,stimuli/blue-red.png,oddball,steady,a,a,0.363952899,1,7
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,11,stimuli/house1.png,stimuli/red-blue.png,regular,switch,l,a,0.443980699,0,7
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,12,stimuli/house2.png,stimuli/blue-red.png,regular,steady,l,l,0.349954901,1,8
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,13,stimuli/house1.png,stimuli/blue-red.png,regular,steady,a,a,0.505023701,1,9
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,14,stimuli/house1.png,stimuli/red-blue.png,regular,steady,l,l,0.333011299,1,10
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,15,stimuli/house1.png,stimuli/blue-red.png,regular,steady,a,NA,NA,0,10
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,16,stimuli/house1.png,stimuli/blue-red.png,regular,steady,a,a,0.3827083,1,11
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,17,stimuli/house2.png,stimuli/red-blue.png,oddball,switch,l,a,0.4426647,0,11
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,18,stimuli/house1.png,stimuli/blue-red.png,oddball,steady,l,l,0.4303152,1,12
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,19,stimuli/house1.png,stimuli/red-blue.png,oddball,steady,a,a,0.359712901,1,13
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,20,stimuli/house1.png,stimuli/red-blue.png,oddball,steady,a,a,0.570867701,1,14
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,changepoint_prac,21,stimuli/house2.png,stimuli/red-blue.png,oddball,steady,l,l,0.3334351,1,15
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,1,house2,blue-red,regular,NA,l,a,0.3906647,0,0
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,2,house1,red-blue,oddball,NA,a,NA,NA,0,0
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,3,house2,blue-red,regular,NA,l,a,0.363286799,0,0
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,4,house2,blue-red,regular,NA,l,a,0.393272899,0,0
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,5,house2,blue-red,regular,NA,l,a,0.434084799,0,0
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,6,house2,red-blue,regular,NA,a,a,0.485306,1,1
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,7,house1,blue-red,oddball,NA,l,a,0.647213899,0,1
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,8,house1,blue-red,regular,NA,a,a,0.383360399,1,2
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,9,house1,blue-red,regular,NA,a,l,0.3144898,0,2
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,10,house2,blue-red,oddball,NA,a,a,0.414279699,1,3
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,11,house1,blue-red,regular,NA,a,NA,NA,0,3
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,12,house1,red-blue,regular,NA,l,a,0.468605701,0,3
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,13,house2,red-blue,regular,NA,a,l,0.2935856,0,3
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,14,house1,red-blue,regular,NA,l,l,0.326966699,1,4
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,15,house1,red-blue,oddball,NA,a,l,0.471430099,0,4
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,16,house1,blue-red,regular,NA,a,a,0.632518899,1,5
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,17,house1,red-blue,regular,NA,l,l,0.2944858,1,6
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,18,house1,blue-red,regular,NA,a,a,0.598943802,1,7
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,19,house1,red-blue,regular,NA,l,l,0.403975599,1,8
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,20,house2,red-blue,regular,NA,a,a,0.7282426,1,9
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,21,house1,red-blue,oddball,NA,a,l,0.3473846,0,9
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,22,house1,red-blue,regular,NA,l,NA,NA,0,9
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,23,house2,red-blue,regular,NA,a,a,0.4441547,1,10
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,24,house1,blue-red,oddball,NA,l,l,0.3334215,1,11
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,25,house2,blue-red,regular,NA,l,a,0.5438211,0,11
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,26,house1,blue-red,regular,NA,a,a,0.7071109,1,12
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,27,house2,blue-red,regular,NA,l,l,0.400059301,1,13
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,28,house1,red-blue,regular,NA,l,a,0.3793738,0,13
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,29,house1,red-blue,regular,NA,l,l,0.523234202,1,14
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,30,house2,red-blue,regular,NA,a,a,0.436081499,1,15
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,1,house2,red-blue,regular,NA,l,l,0.516659301,1,1
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,2,house2,blue-red,regular,NA,a,a,0.313244499,1,2
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,3,house1,blue-red,regular,NA,l,l,0.3081723,1,3
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,4,house1,red-blue,oddball,NA,l,a,0.3872195,0,3
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,5,house1,blue-red,regular,NA,l,l,0.2978277,1,4
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,6,house2,blue-red,regular,NA,a,a,0.372390201,1,5
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,7,house2,blue-red,regular,NA,a,a,0.453951599,1,6
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,8,house1,blue-red,oddball,NA,a,l,0.3363463,0,6
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,9,house1,blue-red,regular,NA,l,l,0.4630278,1,7
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,10,house1,blue-red,regular,NA,l,l,0.333246799,1,8
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball_prac,11,house1,blue-red,regular,NA,l,l,0.4970506,1,9
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,1,house1,blue-red,oddball,NA,l,l,0.3311751,1,1
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,2,house1,red-blue,regular,NA,l,a,0.4470709,0,1
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,3,house2,blue-red,regular,NA,l,l,0.5827363,1,2
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,4,house1,red-blue,regular,NA,l,l,0.4705204,1,3
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,5,house1,red-blue,regular,NA,l,l,0.354565,1,4
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,6,house2,blue-red,regular,NA,l,l,0.3420032,1,5
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,7,house2,red-blue,oddball,NA,l,a,0.739678599,0,5
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,8,house1,blue-red,regular,NA,a,a,0.6658406,1,6
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,9,house2,blue-red,regular,NA,l,l,0.329286601,1,7
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,10,house1,red-blue,regular,NA,l,l,0.326051701,1,8
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,11,house1,red-blue,regular,NA,l,a,0.543111499,0,8
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,12,house2,red-blue,oddball,NA,l,a,0.545269301,0,8
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,13,house2,red-blue,regular,NA,a,a,0.287513301,1,9
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,14,house2,blue-red,regular,NA,l,l,0.3173567,1,10
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,15,house2,blue-red,oddball,NA,a,l,0.3128032,0,10
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,16,house1,red-blue,regular,NA,l,l,0.3139633,1,11
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,17,house1,red-blue,regular,NA,l,l,0.397783201,1,12
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,18,house1,red-blue,oddball,NA,a,l,0.380550101,0,12
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,19,house2,red-blue,regular,NA,a,l,0.346967101,0,12
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,20,house1,red-blue,regular,NA,l,NA,NA,0,12
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,21,house2,red-blue,regular,NA,a,a,0.318416499,1,13
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,22,house2,red-blue,regular,NA,a,l,0.480340099,0,13
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,23,house1,blue-red,regular,NA,a,a,0.5096743,1,14
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,24,house2,blue-red,regular,NA,l,l,0.465377599,1,15
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,25,house2,blue-red,oddball,NA,a,l,0.6582845,0,15
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,26,house2,red-blue,regular,NA,a,NA,-4.283432201,0,15
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,27,house1,blue-red,regular,NA,a,a,0.4649741,1,16
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,28,house2,red-blue,regular,NA,a,a,0.4158276,1,17
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,29,house2,red-blue,regular,NA,a,a,0.295704201,1,18
,,,,,,,,,,,,,,,,
1,24,male,1,1,1,oddball1,30,house2,red-blue,regular,NA,a,a,0.341599099,1,19
,,,,,,,,,,,,,,,,
1,24,male,1,1,2,oddball2,1,house1,blue-red,oddball,NA,a,a,0.3554141,1,1
,,,,,,,,,,,,,,,,
1,24,male,1,1,2,oddball2,2,house2,blue-red,regular,NA,a,l,0.2850246,0,1
,,,,,,,,,,,,,,,,
1,24,male,1,1,2,oddball2,3,house2,red-blue,regular,NA,l,a,0.355794301,0,1
,,,,,,,,,,,,,,,,
1,24,male,1,1,2,oddball2,4,house2,blue-red,regular,NA,a,a,0.312776001,1,2
,,,,,,,,,,,,,,,,
1,24,male,1,1,2,oddball2,5,house1,blue-red,regular,NA,l,l,0.312302699,1,3
,,,,,,,,,,,,,,,,
1,24,male,1,1,2,oddball2,6,house1,red-blue,regular,NA,a,a,0.410952199,1,4
,,,,,,,,,,,,,,,,
1,24,male,1,1,2,oddball2,7,house1,blue-red,oddball,NA,a,a,0.7268511,1,5
,,,,,,,,,,,,,,,,
1,24,male,1,1,2,oddball2,8,house2,blue-red,regular,NA,a,a,0.3108973,1,6
,,,,,,,,,,,,,,,,
1,24,male,1,1,2,oddball2,9,house1,blue-red,regular,NA,l,l,0.556983201,1,7
,,,,,,,,,,,,,,,,
1,24,male,1,1,2,oddball2,10,house1,blue-red,regular,NA,l,l,0.346649401,1,8
,,,,,,,,,,,,,,,,
1,24,male,1,1,2,oddball2,11,house2,red-blue,oddball,NA,a,l,0.419820599,0,8
,,,,,,,,,,,,,,,,
1,24,male,1,1,2,oddball2,12,house1,red-blue,regular,NA,a,l,0.4607163,0,8
,,,,,,,,,,,,,,,,
1,24,male,1,1,2,oddball2,13,house2,red-blue,regular,NA,l,l,0.6090937,1,9
,,,,,,,,,,,,,,,,
1,24,male,1,1,2,oddball2,14,house1,red-blue,oddball,NA,l,a,0.311140001,0,9
,,,,,,,,,,,,,,,,
1,24,male,1,1,2,oddball2,15,house1,red-blue,regular,NA,a,a,0.3307424,1,10
,,,,,,,,,,,,,,,,
1,24,male,1,1,2,oddball2,16,house1,red-blue,regular,NA,a,a,0.454583399,1,11
,,,,,,,,,,,,,,,,
1,24,male,1,1,2,oddball2,17,house1,blue-red,regular,NA,l,l,0.434705501,1,12
,,,,,,,,,,,,,,,,
1,24,male,1,1,2,oddball2,18,house2,blue-red,regular,NA,a,a,0.2960549,1,13
,,,,,,,,,,,,,,,,
